Deep Learning：用Python進行深度學習的基礎理論實作,9789864764846,458元,522元,458元
Python入門邁向高手之路王者歸來(附光碟),9789865000592,552元,629元,594元
Python初學特訓班(增訂版)(附250分鐘影音教學/範例程式),9789864764907,379元,432元,379元
Python網頁程式交易APP實作：Web + MySQL + Django,9789864342846,510元,612元,537元
圖說演算法：使用Python,9789864342815,300元,342元,312元
Python零基礎入門班：一次打好程式設計與邏輯訓練基本功!(附120分鐘影音教學/範例程式),9789864766222,308元,351元,308元
Python資料科學學習手冊,9789864766857,616元,702元,647元
金融科技實戰：Python與量化投資,9789864342709,488元,585元,553元
精通 Python：運用簡單的套件進行現代運算,9789863477310,616元,702元,616元
Python深度學習,9789864342723,465元,558元,527元
Python：期貨演算法交易實務121個關鍵技巧詳解,9789864342631,375元,450元,425元
輕課程 micro:bit 微型電腦帶著走：使用Python輕鬆玩,9789864555246,119元,135元,135元
特洛伊木馬病毒程式設計：使用Python,9789864342808,390元,468元,426元
Python 自動化的樂趣：搞定重複瑣碎&單調無聊的工作,9789864762729,395元,450元,395元
Python 技術手冊(第三版),9789864766819,695元,792元,730元
Python 資料運算與分析實戰：一次搞懂 NumPy‧SciPy‧Matplotlib‧pandas 最強套件,9789863124962,561元,531元,519元
Python架站特訓班：Django最強實戰,9789864765690,356元,405元,356元
網站擷取：使用Python,9789864761753,458元,522元,458元
Python也可以這樣學,9789864342587,435元,522元,493元
Python 程式設計「超入門」,9789863123798,399元,378元,370元
